Country,continent,incomeperperson,internetuserate,urbanrate,Population
Afghanistan,Asia,,3.654121623,24.04,38041754
Albania,Europe,1914.996551,44.98994696,46.72,2854191
Algeria,Africa,2231.993335,12.50007331,65.22,43053054
Andorra,Europe,21943.3399,81,88.92,77142
Angola,Africa,1381.004268,9.999953883,56.7,31825295
Antigua and Barbuda,Americas,11894.46407,80.64545455,30.46,97118
Argentina,Americas,10749.41924,36.00033495,92,44938712
Armenia,Asia,1326.741757,44.00102458,63.86,2957731
Aruba,Americas,,41.80088889,46.78,106314
Australia,Oceania,25249.98606,75.8956538,88.74,25766605
Austria,Europe,26692.98411,72.73157554,67.16,8877067
Azerbaijan,Asia,2344.896916,46.67970157,51.92,10023318
Bahamas,Americas,19630.54055,42.98458017,83.7,389482
Bahrain,Asia,12505.21254,54.99280903,88.52,1501635
Bangladesh,Asia,558.0628766,3.70000326,27.14,167310838
Barbados,Americas,9243.587053,70.02859927,39.84,287025
Belarus,Europe,2737.670379,32.05214391,73.46,9466856
Belgium,Europe,24496.04826,73.73393447,97.36,11484055
Belize,Americas,3545.652174,12.64573333,51.7,390353
Benin,Africa,377.0396995,3.129961803,41.2,11801151
Bermuda,Americas,62682.14701,84.65451409,100,63918
Bhutan,Asia,1324.194906,13.59887603,34.48,727145
Bolivia,Americas,1232.794137,20.00171014,65.58,11513100
Bosnia and Herzegovina,Europe,2183.344867,52.00206064,47.44,3301000
Botswana,Africa,4189.436587,5.999835575,59.58,2346179
Brazil,Americas,4699.411262,40.650098,85.58,212559417
Brunei,Asia,17092.46,49.98997494,74.82,433285
Bulgaria,Europe,2549.558474,45.98658991,71.1,6975761
Burkina Faso,Africa,276.200413,1.4000607,19.56,20321378
Burundi,Africa,115.3059959,2.100212706,10.4,11530580
Cambodia,Asia,557.9475126,1.259933609,21.56,16486542
Cameroon,Africa,713.6393027,3.999977346,56.76,25876380
Canada,Americas,25575.35262,81.33839269,80.4,36991981
Cape Verde,Africa,1959.844472,29.99993952,59.62,483628
Cayman Islands,Americas,,66,100,69656
Central African Republic,Africa,239.5187494,2.300026653,38.58,4745185
Chad,Africa,275.8842865,1.700031496,26.68,15946876
Chile,Americas,6334.105194,45,88.44,18952038
China,Asia,2425.471293,34.37778952,43.1,1397715000
Colombia,Americas,3233.42378,36.49987464,74.5,50339443
Comoros,Africa,336.3687495,5.098265306,28.08,850886
Democratic Republic of the Congo,Africa,103.7758572,0.720008677,33.96,86790567
Congo,Africa,1253.292015,4.999875093,61.34,5380508
Cook Islands,Oceania,,,,17459
Costa Rica,Americas,5188.900935,36.49911472,63.26,5047561
Ivory Coast,Africa,591.0679443,2.599973655,48.78,25716544
Croatia,Europe,6338.494668,60.11970702,57.28,4067500
Cuba,Americas,4495.046262,15.89997034,75.66,11333483
Cyprus,Asia,15313.85935,53.02474483,69.9,1198575
Czech Republic,Europe,7381.312751,68.63813347,73.5,10669709
Denmark,Europe,30532.27704,88.77025387,86.68,5818553
Djibouti,Africa,895.3183396,6.49792351,87.3,973560
Dominica,Americas,6147.77961,47.28043603,73.92,71808
